ticket_id,customer_id,ticket_date,category,priority,channel,resolution_time_hours,satisfaction_score,status
TKT_000025,CUST_000017,2024-08-17,Transaction,Low,App,59.1,1.0,Closed
TKT_000026,CUST_000019,2024-08-08,Technical,Medium,Chat,9.73,4.0,Closed
TKT_000027,CUST_000020,2024-07-10,Account,Low,App,19.6,1.0,Closed
TKT_000028,CUST_000020,2024-08-15,Transaction,Low,App,16.54,4.0,Closed
TKT_000029,CUST_000020,2024-10-19,Transaction,High,Phone,41.12,3.0,Closed
TKT_000030,CUST_000020,2024-06-08,Transaction,Low,Chat,4.03,4.0,Closed
TKT_000031,CUST_000021,2024-08-05,Fraud,Low,Phone,3.03,1.0,Closed
TKT_000032,CUST_000023,2024-05-09,Card,High,App,38.27,3.0,Closed
TKT_000033,CUST_000023,2024-07-30,Transaction,Low,Email,12.8,2.0,Closed
TKT_000034,CUST_000023,2024-05-11,Other,Low,Chat,12.09,5.0,Closed
TKT_000035,CUST_000023,2024-08-14,Technical,Low,Phone,56.53,1.0,Closed
TKT_000036,CUST_000024,2024-09-20,Other,Medium,Email,28.18,2.0,Closed
TKT_000037,CUST_000026,2024-07-04,Account,Low,Phone,11.02,4.0,Closed
TKT_000038,CUST_000029,2024-10-26,Transaction,High,Email,2.77,3.0,Closed
TKT_000039,CUST_000029,2024-10-07,Account,Low,App,38.77,2.0,Closed
TKT_000040,CUST_000030,2024-06-16,Technical,Medium,App,15.89,1.0,Closed
TKT_000041,CUST_000033,2024-08-13,Technical,Low,Email,36.84,1.0,Closed
TKT_000042,CUST_000033,2024-07-31,Card,Medium,Email,93.38,1.0,Closed
TKT_000043,CUST_000033,2024-05-11,Transaction,Low,App,15.34,2.0,Closed
TKT_000044,CUST_000035,2024-06-14,Technical,High,Chat,1.08,3.0,Closed
TKT_000045,CUST_000035,2024-06-09,Account,Low,Email,4.52,3.0,Closed
TKT_000046,CUST_000036,2024-09-13,Card,Low,Chat,22.66,4.0,Closed
TKT_000047,CUST_000037,2024-06-08,Technical,Medium,App,28.4,5.0,Closed
TKT_000048,CUST_000038,2024-07-03,Transaction,Low,App,10.77,5.0,Closed
TKT_000049,CUST_000038,2024-10-22,Card,Low,App,24.81,1.0,Closed
TKT_000050,CUST_000038,2024-07-15,Transaction,Low,App,11.83,3.0,Closed
TKT_000051,CUST_000039,2024-07-06,Fraud,Medium,Phone,7.17,5.0,Closed
TKT_000052,CUST_000040,2024-10-05,Transaction,Low,Phone,44.08,3.0,Closed
TKT_000053,CUST_000040,2024-06-03,Transaction,High,Phone,8.04,1.0,Closed
TKT_000054,CUST_000040,2024-07-26,Technical,Medium,Phone,6.46,1.0,Closed
TKT_000055,CUST_000040,2024-05-22,Technical,Medium,App,31.24,4.0,Closed
TKT_000056,CUST_000040,2024-10-21,Fraud,Low,Email,2.86,2.0,Closed
TKT_000057,CUST_000041,2024-09-30,Technical,Low,Phone,37.98,3.0,Closed
TKT_000058,CUST_000041,2024-08-12,Technical,Low,App,34.02,4.0,Closed
TKT_000059,CUST_000045,2024-08-29,Transaction,Low,Chat,52.24,4.0,Closed
TKT_000060,CUST_000045,2024-06-27,Transaction,Medium,Email,8.56,1.0,Closed
TKT_000061,CUST_000045,2024-09-19,Technical,Medium,App,8.91,2.0,Closed
TKT_000062,CUST_000045,2024-06-24,Transaction,Low,Email,23.66,4.0,Closed
TKT_000063,CUST_000047,2024-09-15,Account,Low,Chat,29.38,4.0,Closed
TKT_000064,CUST_000047,2024-09-15,Fraud,Medium,Phone,11.46,3.0,Closed
TKT_000065,CUST_000048,2024-10-17,Transaction,Low,Email,10.59,2.0,Closed
TKT_000066,CUST_000050,2024-05-07,Account,Low,App,46.28,4.0,Closed
TKT_000067,CUST_000051,2024-05-17,Technical,Low,App,,,Open
TKT_000068,CUST_000051,2024-08-27,Technical,Medium,Chat,50.38,5.0,Closed
TKT_000069,CUST_000055,2024-07-02,Other,Low,App,25.36,4.0,Closed
TKT_000070,CUST_000055,2024-07-30,Account,Low,Email,5.26,5.0,Closed
TKT_000071,CUST_000056,2024-06-12,Fraud,Medium,Email,4.75,5.0,Closed
TKT_000072,CUST_000060,2024-05-30,Fraud,Low,App,4.79,4.0,Closed
TKT_000073,CUST_000060,2024-08-03,Transaction,High,App,37.96,4.0,Closed
TKT_000074,CUST_000062,2024-08-23,Fraud,Medium,Email,0.59,4.0,Closed
TKT_000075,CUST_000062,2024-06-14,Transaction,Low,Chat,57.35,3.0,Closed
TKT_000076,CUST_000064,2024-10-21,Other,Medium,App,5.35,5.0,Closed
TKT_000077,CUST_000064,2024-10-11,Technical,Low,Phone,5.05,4.0,Closed
TKT_000078,CUST_000068,2024-06-19,Card,Low,Chat,20.82,3.0,Closed
TKT_000079,CUST_000068,2024-07-15,Technical,Low,Phone,7.48,5.0,Closed
TKT_000080,CUST_000068,2024-07-27,Account,Low,Chat,33.7,3.0,Closed
TKT_000081,CUST_000071,2024-09-07,Other,Low,Chat,15.35,2.0,Closed
TKT_000082,CUST_000072,2024-06-29,Card,Low,Chat,23.57,5.0,Closed
TKT_000083,CUST_000072,2024-05-28,Card,Medium,App,6.89,1.0,Closed
TKT_000084,CUST_000072,2024-08-20,Fraud,Low,Chat,2.89,4.0,Closed
TKT_000085,CUST_000072,2024-07-17,Fraud,Low,Chat,3.29,1.0,Closed
TKT_000086,CUST_000075,2024-06-14,Card,Low,Phone,23.31,1.0,Closed
TKT_000087,CUST_000077,2024-05-23,Transaction,Low,App,59.43,2.0,Closed
TKT_000088,CUST_000078,2024-09-26,Account,Low,Chat,12.06,1.0,Closed
TKT_000089,CUST_000078,2024-05-11,Other,Low,App,,,Open
TKT_000090,CUST_000079,2024-07-04,Technical,Low,App,37.81,5.0,Closed
TKT_000091,CUST_000080,2024-06-12,Card,Medium,Email,3.91,4.0,Closed
TKT_000092,CUST_000080,2024-07-12,Card,Low,App,27.99,2.0,Closed
TKT_000093,CUST_000080,2024-10-16,Other,Low,Email,6.25,2.0,Closed
TKT_000094,CUST_000081,2024-09-10,Other,Low,Email,18.51,4.0,Closed
TKT_000095,CUST_000083,2024-05-22,Transaction,Low,Phone,21.36,3.0,Closed
TKT_000096,CUST_000084,2024-10-04,Technical,Low,App,50.44,4.0,Closed
TKT_000097,CUST_000089,2024-10-05,Fraud,Low,Phone,2.11,3.0,Closed
TKT_000098,CUST_000089,2024-10-15,Fraud,Low,App,10.97,1.0,Closed
TKT_000099,CUST_000090,2024-10-29,Transaction,Low,App,17.14,5.0,Closed
TKT_000100,CUST_000090,2024-08-12,Transaction,Low,Phone,29.64,1.0,Closed
TKT_000101,CUST_000090,2024-10-24,Other,Low,Phone,16.91,2.0,Closed
TKT_000102,CUST_000090,2024-07-28,Technical,Low,Chat,37.6,1.0,Closed
TKT_000103,CUST_000090,2024-09-25,Transaction,Low,App,37.1,1.0,Closed
TKT_000104,CUST_000090,2024-05-14,Technical,Low,Chat,1.27,1.0,Closed
TKT_000105,CUST_000095,2024-08-31,Fraud,High,Phone,6.12,2.0,Closed
TKT_000106,CUST_000095,2024-09-02,Technical,Low,Phone,85.33,3.0,Closed
TKT_000107,CUST_000095,2024-06-12,Transaction,Low,Email,12.19,3.0,Closed
TKT_000108,CUST_000096,2024-06-30,Transaction,Medium,Email,40.68,4.0,Closed
TKT_000109,CUST_000097,2024-09-19,Account,High,Email,7.92,5.0,Closed
TKT_000110,CUST_000097,2024-09-15,Technical,Low,App,32.66,4.0,Closed
TKT_000111,CUST_000097,2024-08-24,Fraud,Low,App,3.06,3.0,Closed
TKT_000112,CUST_000098,2024-05-11,Fraud,Low,Phone,2.57,3.0,Closed
TKT_000113,CUST_000099,2024-06-02,Transaction,Medium,Phone,30.05,1.0,Closed
TKT_000114,CUST_000099,2024-08-28,Card,Medium,App,46.82,1.0,Closed
TKT_000115,CUST_000099,2024-06-20,Fraud,Low,Email,1.69,3.0,Closed
TKT_000116,CUST_000101,2024-07-07,Card,Low,Email,16.5,5.0,Closed
TKT_000117,CUST_000104,2024-06-04,Fraud,Low,Email,,,Open
TKT_000118,CUST_000105,2024-08-01,Technical,Low,Chat,17.63,2.0,Closed
TKT_000119,CUST_000106,2024-09-24,Technical,Medium,Email,23.92,3.0,Closed
TKT_000120,CUST_000106,2024-06-10,Other,Low,Email,2.59,3.0,Closed
TKT_000121,CUST_000106,2024-08-12,Fraud,Low,App,2.18,2.0,Closed
TKT_000122,CUST_000107,2024-06-20,Account,Low,Email,16.32,4.0,Closed
TKT_000123,CUST_000107,2024-10-18,Other,Medium,App,22.01,5.0,Closed
TKT_000124,CUST_000107,2024-05-27,Transaction,Low,Chat,29.9,5.0,Closed
TKT_000125,CUST_000112,2024-10-04,Transaction,Medium,Chat,9.19,4.0,Closed
TKT_000126,CUST_000113,2024-10-16,Card,Low,Chat,44.56,5.0,Closed
TKT_000127,CUST_000113,2024-07-17,Transaction,Medium,Phone,20.48,5.0,Closed
TKT_000128,CUST_000115,2024-07-04,Transaction,Medium,Chat,21.81,4.0,Closed
TKT_000129,CUST_000117,2024-05-15,Fraud,Low,Email,4.52,2.0,Closed
TKT_000130,CUST_000117,2024-07-27,Technical,Medium,App,12.5,3.0,Closed
TKT_000131,CUST_000119,2024-05-12,Card,Medium,Phone,23.36,4.0,Closed
TKT_000132,CUST_000121,2024-06-06,Fraud,Low,Email,11.5,4.0,Closed
TKT_000133,CUST_000121,2024-09-19,Other,Low,Email,18.54,4.0,Closed
TKT_000134,CUST_000123,2024-09-22,Card,Low,Phone,62.52,2.0,Closed
TKT_000135,CUST_000125,2024-07-29,Account,High,Chat,13.72,4.0,Closed
TKT_000136,CUST_000127,2024-10-13,Technical,Medium,App,10.29,2.0,Closed
TKT_000137,CUST_000128,2024-06-23,Other,Low,Email,2.27,2.0,Closed
TKT_000138,CUST_000129,2024-08-06,Card,Low,Chat,16.22,5.0,Closed
TKT_000139,CUST_000130,2024-06-30,Transaction,Low,Email,12.11,4.0,Closed
TKT_000140,CUST_000132,2024-07-08,Other,Medium,App,33.27,4.0,Closed
TKT_000141,CUST_000132,2024-07-14,Account,Low,Chat,2.56,5.0,Closed
TKT_000142,CUST_000135,2024-08-02,Other,Low,Email,9.11,5.0,Closed
TKT_000143,CUST_000140,2024-05-14,Other,Low,Phone,51.26,5.0,Closed
TKT_000144,CUST_000141,2024-05-15,Transaction,Low,Phone,5.69,5.0,Closed
TKT_000145,CUST_000141,2024-05-22,Account,Low,App,61.96,4.0,Closed
TKT_000146,CUST_000147,2024-05-30,Technical,Medium,App,35.35,2.0,Closed
TKT_000147,CUST_000147,2024-08-14,Account,Medium,Phone,29.6,5.0,Closed
TKT_000148,CUST_000147,2024-09-25,Card,Low,Phone,18.06,4.0,Closed
TKT_000149,CUST_000148,2024-08-06,Other,Medium,Email,1.39,2.0,Closed
TKT_000150,CUST_000152,2024-10-08,Account,Low,Email,30.84,3.0,Closed
TKT_000151,CUST_000153,2024-06-14,Fraud,Medium,App,4.79,5.0,Closed
TKT_000152,CUST_000155,2024-07-10,Account,Low,App,36.59,5.0,Closed
TKT_000153,CUST_000157,2024-09-07,Fraud,Low,Email,4.77,4.0,Closed
TKT_000154,CUST_000157,2024-10-29,Transaction,Low,Email,10.51,1.0,Closed
TKT_000155,CUST_000159,2024-06-30,Other,Low,Phone,11.62,5.0,Closed
TKT_000156,CUST_000159,2024-05-23,Technical,Low,Chat,8.77,4.0,Closed
TKT_000157,CUST_000164,2024-07-05,Card,Low,Email,37.02,4.0,Closed
TKT_000158,CUST_000164,2024-07-10,Transaction,Low,Phone,12.27,4.0,Closed
TKT_000159,CUST_000166,2024-09-27,Card,Low,Chat,18.32,2.0,Closed
TKT_000160,CUST_000167,2024-07-07,Transaction,Low,App,30.38,5.0,Closed
TKT_000161,CUST_000168,2024-07-08,Card,Medium,App,10.82,4.0,Closed
TKT_000162,CUST_000168,2024-09-12,Account,Low,Email,32.96,2.0,Closed
TKT_000163,CUST_000169,2024-06-04,Transaction,Low,App,56.8,4.0,Closed
TKT_000164,CUST_000171,2024-07-23,Transaction,Medium,App,30.95,1.0,Closed
TKT_000165,CUST_000174,2024-05-27,Technical,Medium,Email,16.62,4.0,Closed
TKT_000166,CUST_000175,2024-08-27,Transaction,Low,Chat,20.49,4.0,Closed
TKT_000167,CUST_000176,2024-08-15,Account,Low,Phone,18.48,2.0,Closed
TKT_000168,CUST_000177,2024-10-13,Transaction,Low,Email,19.02,5.0,Closed
TKT_000169,CUST_000177,2024-10-30,Account,Medium,Email,45.13,5.0,Closed
TKT_000170,CUST_000177,2024-07-10,Other,Medium,Phone,36.84,5.0,Closed
TKT_000171,CUST_000179,2024-07-04,Transaction,Medium,Phone,10.65,3.0,Closed
TKT_000172,CUST_000182,2024-10-03,Card,Medium,App,14.69,4.0,Closed
TKT_000173,CUST_000183,2024-05-20,Fraud,Low,App,2.97,5.0,Closed
TKT_000174,CUST_000186,2024-06-23,Technical,Medium,Email,10.25,4.0,Closed
TKT_000175,CUST_000186,2024-06-25,Card,Medium,App,118.8,5.0,Closed
TKT_000176,CUST_000187,2024-05-22,Transaction,Medium,App,6.28,5.0,Closed
TKT_000177,CUST_000188,2024-06-26,Technical,Medium,Phone,36.26,4.0,Closed
TKT_000178,CUST_000189,2024-07-09,Technical,Low,Email,24.44,5.0,Closed
TKT_000179,CUST_000192,2024-06-16,Other,Low,Email,35.37,1.0,Closed
TKT_000180,CUST_000196,2024-06-12,Technical,Low,App,37.88,3.0,Closed
TKT_000181,CUST_000197,2024-09-12,Other,Low,Phone,1.16,3.0,Closed
TKT_000182,CUST_000204,2024-10-21,Technical,Low,Chat,49.98,1.0,Closed
TKT_000183,CUST_000207,2024-10-14,Account,Low,Phone,18.36,3.0,Closed
TKT_000184,CUST_000209,2024-06-30,Technical,Low,App,15.82,4.0,Closed
TKT_000185,CUST_000209,2024-05-09,Technical,High,App,5.45,1.0,Closed
TKT_000186,CUST_000209,2024-09-13,Technical,High,Email,60.31,4.0,Closed
TKT_000187,CUST_000209,2024-10-06,Transaction,Low,Chat,35.54,2.0,Closed
TKT_000188,CUST_000209,2024-05-29,Technical,Medium,Phone,16.03,4.0,Closed
TKT_000189,CUST_000211,2024-06-10,Technical,Medium,Chat,30.56,4.0,Closed
TKT_000190,CUST_000212,2024-09-23,Technical,Low,Email,36.29,2.0,Closed
TKT_000191,CUST_000213,2024-05-05,Other,Low,App,20.14,4.0,Closed
TKT_000192,CUST_000216,2024-06-26,Account,Low,Phone,,,Open
TKT_000193,CUST_000219,2024-10-03,Card,Medium,Phone,39.63,3.0,Closed
TKT_000194,CUST_000219,2024-06-19,Technical,Low,App,12.59,5.0,Closed
TKT_000195,CUST_000223,2024-05-30,Account,Low,App,25.77,1.0,Closed
TKT_000196,CUST_000223,2024-09-09,Card,Low,Email,,,Open
TKT_000197,CUST_000225,2024-07-12,Transaction,High,Chat,3.83,2.0,Closed
TKT_000198,CUST_000225,2024-07-06,Transaction,Low,Chat,20.15,5.0,Closed
TKT_000199,CUST_000229,2024-07-18,Transaction,High,Email,,,Open
TKT_000200,CUST_000231,2024-07-13,Account,Medium,Chat,34.28,3.0,Closed
TKT_000201,CUST_000231,2024-07-17,Technical,Low,App,21.91,2.0,Closed
TKT_000202,CUST_000231,2024-05-09,Fraud,Low,App,1.76,1.0,Closed
TKT_000203,CUST_000232,2024-10-13,Other,Low,Chat,35.03,5.0,Closed
TKT_000204,CUST_000233,2024-05-09,Account,Low,App,44.37,4.0,Closed
TKT_000205,CUST_000236,2024-09-05,Transaction,Low,Phone,12.31,4.0,Closed
TKT_000206,CUST_000238,2024-06-28,Fraud,Low,App,3.72,3.0,Closed
TKT_000207,CUST_000238,2024-06-18,Account,Low,Chat,12.27,3.0,Closed
TKT_000208,CUST_000238,2024-08-18,Fraud,Low,Phone,1.59,2.0,Closed
TKT_000209,CUST_000238,2024-06-17,Other,High,Phone,,,Open
TKT_000210,CUST_000239,2024-09-08,Other,Medium,Email,22.32,2.0,Closed
TKT_000211,CUST_000240,2024-09-15,Account,Low,Phone,13.79,1.0,Closed
TKT_000212,CUST_000240,2024-10-29,Transaction,Medium,Phone,31.36,4.0,Closed
TKT_000213,CUST_000240,2024-09-02,Technical,Low,App,12.06,3.0,Closed
TKT_000214,CUST_000244,2024-07-24,Fraud,Low,Phone,3.48,5.0,Closed
TKT_000215,CUST_000244,2024-06-16,Other,High,App,17.7,2.0,Closed
TKT_000216,CUST_000246,2024-07-25,Technical,Medium,Email,66.59,3.0,Closed
TKT_000217,CUST_000246,2024-08-02,Technical,Medium,App,78.13,1.0,Closed
TKT_000218,CUST_000248,2024-10-14,Technical,Low,App,9.18,1.0,Closed
TKT_000219,CUST_000248,2024-07-03,Account,Medium,App,8.86,1.0,Closed
TKT_000220,CUST_000249,2024-07-22,Technical,Low,Chat,6.85,5.0,Closed
TKT_000221,CUST_000251,2024-09-16,Account,Medium,Chat,3.92,2.0,Closed
TKT_000222,CUST_000253,2024-07-11,Transaction,Low,Chat,16.48,1.0,Closed
TKT_000223,CUST_000253,2024-07-26,Fraud,Low,Email,1.08,3.0,Closed
TKT_000224,CUST_000253,2024-06-19,Transaction,High,Email,20.96,3.0,Closed
TKT_000225,CUST_000253,2024-10-25,Technical,Medium,Phone,13.72,2.0,Closed
TKT_000226,CUST_000254,2024-09-21,Transaction,Medium,Email,12.09,2.0,Closed
TKT_000227,CUST_000254,2024-07-22,Transaction,Low,Email,18.82,4.0,Closed
TKT_000228,CUST_000254,2024-10-27,Technical,High,App,9.35,5.0,Closed
TKT_000229,CUST_000255,2024-08-21,Other,Low,App,7.73,5.0,Closed
TKT_000230,CUST_000256,2024-07-24,Account,Medium,Chat,11.75,1.0,Closed
TKT_000231,CUST_000256,2024-10-18,Account,Medium,Email,20.52,3.0,Closed
TKT_000232,CUST_000257,2024-09-09,Account,Medium,App,15.61,1.0,Closed
TKT_000233,CUST_000257,2024-06-17,Transaction,Low,Chat,15.79,3.0,Closed
TKT_000234,CUST_000259,2024-05-12,Other,Low,App,5.32,5.0,Closed
TKT_000235,CUST_000261,2024-05-17,Account,Low,Email,16.36,4.0,Closed
TKT_000236,CUST_000262,2024-07-12,Other,Low,App,28.37,1.0,Closed
TKT_000237,CUST_000264,2024-06-16,Account,Low,Email,18.12,3.0,Closed
TKT_000238,CUST_000267,2024-06-04,Other,Low,App,14.58,1.0,Closed
TKT_000239,CUST_000268,2024-05-25,Technical,Low,App,18.92,4.0,Closed
TKT_000240,CUST_000273,2024-10-28,Transaction,Low,Email,27.84,5.0,Closed
TKT_000241,CUST_000273,2024-09-29,Technical,Low,App,45.99,2.0,Closed
TKT_000242,CUST_000274,2024-06-20,Transaction,Medium,App,25.79,3.0,Closed
TKT_000243,CUST_000279,2024-09-08,Transaction,Low,App,7.33,2.0,Closed
TKT_000244,CUST_000279,2024-10-28,Transaction,Medium,Phone,30.31,1.0,Closed
TKT_000245,CUST_000279,2024-10-18,Account,Low,Chat,27.65,5.0,Closed
TKT_000246,CUST_000280,2024-07-23,Other,Low,Chat,1.93,5.0,Closed
TKT_000247,CUST_000280,2024-10-14,Transaction,High,Email,18.9,5.0,Closed
TKT_000248,CUST_000280,2024-06-08,Account,Medium,Email,6.98,4.0,Closed
TKT_000249,CUST_000282,2024-08-10,Transaction,Low,Email,,,Open
TKT_000250,CUST_000284,2024-10-26,Technical,Medium,Chat,24.81,3.0,Closed
TKT_000251,CUST_000285,2024-06-20,Transaction,Medium,Email,20.8,4.0,Closed
TKT_000252,CUST_000286,2024-08-06,Transaction,Low,Chat,61.03,5.0,Closed
TKT_000253,CUST_000286,2024-06-19,Account,Low,Phone,,,Open
TKT_000254,CUST_000287,2024-06-20,Card,Medium,App,32.02,4.0,Closed
TKT_000255,CUST_000290,2024-05-10,Account,Low,App,37.49,3.0,Closed
TKT_000256,CUST_000293,2024-05-25,Card,Low,Chat,,,Open
TKT_000257,CUST_000294,2024-08-02,Account,Low,Phone,48.73,4.0,Closed
TKT_000258,CUST_000295,2024-09-13,Technical,Medium,Email,11.41,3.0,Closed
TKT_000259,CUST_000295,2024-05-31,Technical,Low,App,52.85,3.0,Closed
TKT_000260,CUST_000296,2024-05-14,Transaction,Low,App,,,Open
TKT_000261,CUST_000296,2024-08-18,Technical,Low,App,30.16,3.0,Closed
TKT_000262,CUST_000297,2024-08-15,Other,Low,Chat,10.28,2.0,Closed
TKT_000263,CUST_000297,2024-05-04,Account,Low,App,10.95,3.0,Closed
TKT_000264,CUST_000298,2024-07-29,Other,High,App,3.3,3.0,Closed
TKT_000265,CUST_000300,2024-06-12,Account,Low,Phone,31.56,5.0,Closed
TKT_000266,CUST_000302,2024-06-19,Technical,Medium,Email,13.7,3.0,Closed
TKT_000267,CUST_000303,2024-07-20,Account,High,Phone,15.07,5.0,Closed
TKT_000268,CUST_000306,2024-10-29,Transaction,Medium,Email,47.95,4.0,Closed
TKT_000269,CUST_000307,2024-08-23,Card,Medium,Email,35.47,2.0,Closed
TKT_000270,CUST_000307,2024-08-25,Fraud,Low,Phone,8.51,1.0,Closed
TKT_000271,CUST_000309,2024-06-22,Card,Low,Phone,3.19,4.0,Closed
TKT_000272,CUST_000309,2024-07-31,Account,Medium,Email,7.34,4.0,Closed
TKT_000273,CUST_000309,2024-08-19,Other,Low,Chat,6.44,3.0,Closed
TKT_000274,CUST_000311,2024-06-20,Fraud,Low,App,0.71,1.0,Closed
TKT_000275,CUST_000313,2024-09-25,Transaction,Medium,Phone,8.73,4.0,Closed
TKT_000276,CUST_000315,2024-08-20,Other,Low,Phone,22.29,5.0,Closed
TKT_000277,CUST_000316,2024-07-03,Transaction,High,App,23.91,5.0,Closed
TKT_000278,CUST_000318,2024-08-27,Fraud,Low,Email,3.12,2.0,Closed
TKT_000279,CUST_000319,2024-05-12,Technical,Low,Phone,6.68,3.0,Closed
TKT_000280,CUST_000321,2024-06-09,Technical,Low,App,11.71,5.0,Closed
TKT_000281,CUST_000322,2024-07-20,Account,Low,App,20.04,4.0,Closed
TKT_000282,CUST_000324,2024-06-21,Technical,Medium,App,52.54,5.0,Closed
TKT_000283,CUST_000328,2024-08-20,Other,High,Email,9.85,1.0,Closed
TKT_000284,CUST_000328,2024-10-19,Transaction,Low,Chat,65.32,2.0,Closed
TKT_000285,CUST_000328,2024-06-19,Card,Medium,Phone,49.74,4.0,Closed
TKT_000286,CUST_000328,2024-10-30,Transaction,Low,Chat,25.66,2.0,Closed
TKT_000287,CUST_000329,2024-07-25,Transaction,Medium,Phone,11.56,1.0,Closed
TKT_000288,CUST_000330,2024-08-22,Account,Low,Phone,12.83,5.0,Closed
TKT_000289,CUST_000331,2024-09-02,Account,Low,App,25.44,5.0,Closed
TKT_000290,CUST_000333,2024-08-30,Other,Low,App,7.99,4.0,Closed
TKT_000291,CUST_000337,2024-07-23,Other,Medium,Phone,55.23,2.0,Closed
TKT_000292,CUST_000338,2024-08-19,Card,Medium,App,53.62,2.0,Closed
TKT_000293,CUST_000338,2024-10-21,Transaction,Medium,Chat,3.37,2.0,Closed
TKT_000294,CUST_000338,2024-08-20,Transaction,Medium,Phone,26.45,2.0,Closed
TKT_000295,CUST_000338,2024-06-13,Technical,Low,Email,26.1,5.0,Closed
TKT_000296,CUST_000338,2024-05-25,Transaction,Low,Phone,15.14,1.0,Closed
TKT_000297,CUST_000339,2024-10-08,Other,Low,Email,32.34,3.0,Closed
TKT_000298,CUST_000339,2024-06-03,Transaction,High,App,16.83,2.0,Closed
TKT_000299,CUST_000339,2024-09-16,Other,Low,Email,21.15,5.0,Closed
TKT_000300,CUST_000339,2024-07-03,Transaction,Medium,Email,13.32,2.0,Closed
TKT_000301,CUST_000339,2024-05-30,Technical,Medium,Chat,18.98,1.0,Closed
TKT_000302,CUST_000339,2024-06-01,Transaction,Medium,App,5.18,3.0,Closed
TKT_000303,CUST_000340,2024-06-19,Card,Low,Chat,24.37,4.0,Closed
TKT_000304,CUST_000340,2024-08-24,Transaction,Low,App,50.5,5.0,Closed
TKT_000305,CUST_000341,2024-06-08,Transaction,Low,Email,24.65,5.0,Closed
TKT_000306,CUST_000342,2024-10-30,Fraud,Low,Email,0.79,2.0,Closed
TKT_000307,CUST_000342,2024-10-11,Transaction,Low,Email,9.37,1.0,Closed
TKT_000308,CUST_000342,2024-08-18,Card,High,Email,9.94,1.0,Closed
TKT_000309,CUST_000343,2024-06-28,Account,Low,App,38.95,5.0,Closed
TKT_000310,CUST_000344,2024-07-13,Transaction,Low,Chat,25.56,3.0,Closed
TKT_000311,CUST_000344,2024-09-22,Card,Low,Email,12.13,5.0,Closed
TKT_000312,CUST_000344,2024-05-09,Account,Medium,App,,,Open
TKT_000313,CUST_000346,2024-05-04,Card,Low,Chat,36.66,5.0,Closed
TKT_000314,CUST_000347,2024-08-22,Technical,Low,Chat,31.38,4.0,Closed
TKT_000315,CUST_000349,2024-08-03,Card,Medium,App,14.28,4.0,Closed
TKT_000316,CUST_000354,2024-09-30,Card,Low,Email,69.58,5.0,Closed
TKT_000317,CUST_000357,2024-07-14,Technical,Low,Chat,42.33,1.0,Closed
TKT_000318,CUST_000358,2024-08-19,Account,Low,Phone,25.68,3.0,Closed
TKT_000319,CUST_000359,2024-09-19,Transaction,Low,App,2.11,3.0,Closed
TKT_000320,CUST_000360,2024-09-22,Technical,Low,App,8.66,2.0,Closed
TKT_000321,CUST_000360,2024-09-24,Technical,Low,Email,43.78,4.0,Closed
TKT_000322,CUST_000364,2024-07-15,Transaction,High,Email,3.22,2.0,Closed
TKT_000323,CUST_000368,2024-06-01,Technical,Low,App,25.44,3.0,Closed
